style_key,term,unmapped_reason
Baby/Children || Bag || Accessories || Pink || Solid,pink bag,
Divided || Dress || Dresses Ladies || Yellow || Solid,yellow dress,
Divided || Dress || Jersey Basic || Black || Solid,black dress,
Divided || Dress || Jersey Basic || Black || Stripe,black dress,
Divided || Dress || Jersey Basic || Grey || Melange,grey dress,
Divided || Dress || Jersey Basic || Grey || Solid,grey dress,
Divided || Dress || Jersey Basic || Khaki green || Solid,khaki dress,
Divided || Dress || Jersey Basic || Orange || Solid,orange dress,
Divided || Dress || Jersey Basic || Pink || Solid,pink dress,
Divided || Dress || Jersey Basic || Red || Solid,red dress,
Divided || Dress || Jersey Basic || White || Solid,white dress,
Divided || Dress || Jersey Basic || White || Stripe,white dress,
Divided || Dress || Jersey Basic || Yellow || Solid,yellow dress,
Divided || Dress || Jersey Fancy || Black || Front print,black dress,
Divided || Dress || Jersey Fancy || Black || Solid,black dress,
Divided || Dress || Trousers Denim || Black || Denim,black dress,
Divided || Dress || Trousers Denim || Blue || Denim,blue dress,
Divided || Dress || Unknown || Black || All over pattern,black dress,
Divided || Dress || Unknown || Black || Solid,black dress,
Divided || Dress || Unknown || Black || Stripe,black dress,
Divided || Dress || Unknown || Blue || Solid,blue dress,
Divided || Dress || Unknown || Pink || All over pattern,pink dress,
Divided || Dress || Unknown || Red || All over pattern,red dress,
Divided || Dress || Unknown || Red || Placement print,red dress,
Divided || Dress || Unknown || Red || Solid,red dress,
Divided || Dress || Unknown || White || All over pattern,white dress,
Divided || Dress || Unknown || Yellow || All over pattern,yellow dress,
Divided || Dungarees || Dresses Ladies || Black || All over pattern,black dungarees,
Divided || Dungarees || Shorts || Blue || Solid,blue dungarees,
Divided || Dungarees || Trousers Denim || Black || Denim,black dungarees,
Divided || Dungarees || Trousers Denim || Blue || Denim,blue dungarees,
Divided || Earring || Accessories || Metal || Solid,,colour unmapped
Divided || Earring || Accessories || Pink || Solid,pink earrings,
Divided || Flat shoe || Shoes || Black || Solid,,product type unmapped
Divided || Gloves || Accessories || Black || Solid,black gloves,
Divided || Hair string || Accessories || Black || Solid,,product type unmapped
Divided || Hair string || Accessories || Red || Solid,,product type unmapped
Divided || Hair/alice band || Accessories || Beige || All over pattern,beige headband,
Divided || Hair/alice band || Accessories || Black || Solid,black headband,
Divided || Hair/alice band || Accessories || Orange || Solid,orange headband,
Divided || Hair/alice band || Accessories || Pink || All over pattern,pink headband,
Divided || Hair/alice band || Accessories || Pink || Solid,pink headband,
Divided || Hair/alice band || Accessories || Red || Solid,red headband,
Divided || Hair/alice band || Accessories || White || Solid,white headband,
Divided || Hair/alice band || Accessories || Yellow || All over pattern,yellow headband,
Divided || Hair/alice band || Accessories || Yellow || Solid,yellow headband,
Divided || Hat/beanie || Accessories || Beige || Solid,beige beanie,
Divided || Hat/beanie || Accessories || Black || Solid,black beanie,
Divided || Hat/beanie || Accessories || Blue || Solid,blue beanie,
Divided || Hat/beanie || Accessories || Grey || Melange,grey beanie,
Divided || Hat/beanie || Accessories || Grey || Solid,grey beanie,
Divided || Hat/beanie || Accessories || Orange || Solid,orange beanie,
Divided || Hat/beanie || Accessories || Pink || Solid,pink beanie,
Divided || Hat/beanie || Accessories || Red || Solid,red beanie,
Divided || Hat/beanie || Accessories || White || Solid,white beanie,
Divided || Hat/beanie || Accessories || Yellow || Solid,yellow beanie,
Divided || Hat/brim || Accessories || Beige || Solid,beige hat,
Divided || Hat/brim || Accessories || Black || Solid,black hat,
Divided || Hat/brim || Accessories || Pink || Solid,pink hat,
Divided || Hoodie || Jersey Basic || Black || Solid,black hoodie,
Divided || Hoodie || Jersey Basic || Grey || Melange,grey hoodie,
Divided || Hoodie || Jersey Basic || Lilac Purple || Solid,lilac hoodie,
Divided || Hoodie || Jersey Basic || Mole || Solid,,colour unmapped
Divided || Hoodie || Jersey Basic || Orange || Solid,orange hoodie,
Divided || Hoodie || Jersey Basic || Pink || Solid,pink hoodie,
Divided || Hoodie || Jersey Basic || Red || Solid,red hoodie,
Divided || Hoodie || Jersey Basic || White || Solid,white hoodie,
Divided || Hoodie || Jersey Basic || Yellow || Solid,yellow hoodie,
Divided || Hoodie || Jersey Fancy || Black || Placement print,black hoodie,
Divided || Hoodie || Jersey Fancy || Black || Solid,black hoodie,
Divided || Hoodie || Jersey Fancy || Blue || Placement print,blue hoodie,
Divided || Hoodie || Jersey Fancy || Grey || Placement print,grey hoodie,
Divided || Hoodie || Jersey Fancy || Pink || Placement print,pink hoodie,
Divided || Hoodie || Jersey Fancy || Red || Placement print,red hoodie,
Divided || Hoodie || Jersey Fancy || White || Placement print,white hoodie,
Divided || Hoodie || Outdoor || Black || Solid,black hoodie,
Divided || Hoodie || Outdoor || Blue || Solid,blue hoodie,
Divided || Hoodie || Outdoor || Khaki green || Solid,khaki hoodie,
Divided || Hoodie || Outdoor || Pink || Solid,pink hoodie,
Divided || Hoodie || Outdoor || Red || Solid,red hoodie,
Divided || Hoodie || Outdoor || Yellow || Solid,yellow hoodie,
Divided || Hoodie || Unknown || Black || Solid,black hoodie,
Divided || Jacket || Blouses || Beige || Solid,beige jacket,
Divided || Jacket || Dresses Ladies || Blue || Denim,blue jacket,
Divided || Jacket || Outdoor || Beige || All over pattern,beige jacket,
Divided || Jacket || Outdoor || Beige || Solid,beige jacket,
Divided || Jacket || Outdoor || Black || All over pattern,black jacket,
Divided || Jacket || Outdoor || Black || Denim,black jacket,
Divided || Jacket || Outdoor || Black || Solid,black jacket,
Divided || Jacket || Outdoor || Blue || Denim,blue jacket,
Divided || Jacket || Outdoor || Blue || Solid,blue jacket,
Divided || Jacket || Outdoor || Brown || Solid,brown jacket,
Divided || Jacket || Outdoor || Green || Solid,green jacket,
Divided || Jacket || Outdoor || Grey || Solid,grey jacket,
Divided || Jacket || Outdoor || Khaki green || All over pattern,khaki jacket,
Divided || Jacket || Outdoor || Khaki green || Solid,khaki jacket,
Divided || Jacket || Outdoor || Mole || Solid,,colour unmapped
Divided || Jacket || Outdoor || Orange || Solid,orange jacket,
Divided || Jacket || Outdoor || Pink || Solid,pink jacket,
Divided || Jacket || Outdoor || Red || Solid,red jacket,
Divided || Jacket || Outdoor || Turquoise || Solid,turquoise jacket,
Divided || Jacket || Outdoor || White || Solid,white jacket,
Divided || Jacket || Outdoor || Yellow || Solid,yellow jacket,
Divided || Jacket || Trousers Denim || Black || Denim,black jacket,
Divided || Jacket || Trousers Denim || Blue || Denim,blue jacket,
Divided || Jacket || Trousers Denim || White || Denim,white jacket,
Divided || Jacket || Unknown || Beige || Solid,beige jacket,
Divided || Jacket || Unknown || Black || Solid,black jacket,
Divided || Jacket || Unknown || Khaki green || Solid,khaki jacket,
Divided || Jacket || Unknown || Red || Solid,red jacket,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Beige || All over pattern,beige jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Beige || Solid,beige jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Black || All over pattern,black jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Black || Glittering/Metallic,black jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Black || Solid,black jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Blue || All over pattern,blue jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Blue || Denim,blue jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Khaki green || Solid,khaki jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Orange || All over pattern,orange jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Pink || Solid,pink jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Red || All over pattern,red jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Red || Solid,red jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || White || All over pattern,white jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || White || Solid,white jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || White || Stripe,white jumpsuit,
Divided || Jumpsuit/Playsuit || Dresses Ladies || Yellow || All over pattern,yellow jumpsuit,
Divided || Leggings/Tights || Jersey Basic || Black || Contrast,black leggings,
Divided || Leggings/Tights || Jersey Basic || Black || Solid,black leggings,
Divided || Leggings/Tights || Trousers || Black || Solid,black leggings,
Divided || Necklace || Accessories || Black || Solid,black necklace,
Divided || Necklace || Accessories || Metal || Metallic,,colour unmapped
Divided || Other accessories || Accessories || Beige || Solid,,product type unmapped
Divided || Other accessories || Accessories || Black || Solid,,product type unmapped
Divided || Other accessories || Accessories || Grey || Solid,,product type unmapped
Divided || Other accessories || Accessories || Metal || Solid,,product type and colour both unmapped
Divided || Other accessories || Accessories || Pink || All over pattern,,product type unmapped
Divided || Other accessories || Accessories || Pink || Solid,,product type unmapped
Divided || Other accessories || Accessories || Red || Solid,,product type unmapped
Divided || Other accessories || Accessories || White || Solid,,product type unmapped
Divided || Outdoor Waistcoat || Outdoor || Black || Solid,,product type unmapped
Divided || Pumps || Shoes || Black || Solid,black pumps,
Divided || Sandals || Shoes || Black || Solid,black sandals,
Divided || Sandals || Shoes || Pink || Solid,pink sandals,
Divided || Scarf || Accessories || Beige || Solid,beige scarf,
Divided || Scarf || Accessories || Black || Solid,black scarf,
Divided || Scarf || Accessories || Blue || Jacquard,blue scarf,
Divided || Scarf || Accessories || Grey || Melange,grey scarf,
Divided || Scarf || Accessories || Grey || Solid,grey scarf,
Divided || Scarf || Accessories || Pink || Solid,pink scarf,
Divided || Scarf || Accessories || Red || Solid,red scarf,
Divided || Scarf || Accessories || Yellow || Solid,yellow scarf,
Divided || Shirt || Blouses || Beige || All over pattern,beige shirt,
Divided || Shirt || Blouses || Beige || Check,beige shirt,
Divided || Shirt || Blouses || Beige || Solid,beige shirt,
Divided || Shirt || Blouses || Black || All over pattern,black shirt,
Divided || Shirt || Blouses || Black || Check,black shirt,
Divided || Shirt || Blouses || Black || Solid,black shirt,
Divided || Shirt || Blouses || Blue || All over pattern,blue shirt,
Divided || Shirt || Blouses || Blue || Check,blue shirt,
Divided || Shirt || Blouses || Blue || Denim,blue shirt,
Divided || Shirt || Blouses || Blue || Solid,blue shirt,
Divided || Shirt || Blouses || Blue || Stripe,blue shirt,
Divided || Shirt || Blouses || Green || Check,green shirt,
Divided || Shirt || Blouses || Green || Solid,green shirt,
Divided || Shirt || Blouses || Green || Stripe,green shirt,
Divided || Shirt || Blouses || Khaki green || All over pattern,khaki shirt,
Divided || Shirt || Blouses || Khaki green || Solid,khaki shirt,
Divided || Shirt || Blouses || Lilac Purple || Solid,lilac shirt,
Divided || Shirt || Blouses || Orange || Check,orange shirt,
Divided || Shirt || Blouses || Pink || All over pattern,pink shirt,
Divided || Shirt || Blouses || Pink || Solid,pink shirt,
Divided || Shirt || Blouses || Pink || Stripe,pink shirt,
Divided || Shirt || Blouses || Red || All over pattern,red shirt,
Divided || Shirt || Blouses || Red || Check,red shirt,
Divided || Shirt || Blouses || Red || Solid,red shirt,
Divided || Shirt || Blouses || Red || Stripe,red shirt,
Divided || Shirt || Blouses || White || All over pattern,white shirt,
Divided || Shirt || Blouses || White || Check,white shirt,
Divided || Shirt || Blouses || White || Solid,white shirt,
Divided || Shirt || Blouses || White || Stripe,white shirt,
Divided || Shirt || Blouses || Yellow || Check,yellow shirt,
Divided || Shirt || Blouses || Yellow || Solid,yellow shirt,
Divided || Shirt || Trousers Denim || Blue || Denim,blue shirt,
Divided || Shirt || Unknown || Black || Solid,black shirt,
Divided || Shorts || Jersey Basic || Black || Solid,black shorts,
Divided || Shorts || Jersey Basic || Blue || Solid,blue shorts,
Divided || Shorts || Jersey Basic || Grey || Melange,grey shorts,
Divided || Shorts || Jersey Basic || Orange || Solid,orange shorts,
Divided || Shorts || Shorts || Beige || All over pattern,beige shorts,
Divided || Shorts || Shorts || Beige || Solid,beige shorts,
Divided || Shorts || Shorts || Black || All over pattern,black shorts,
Divided || Shorts || Shorts || Black || Denim,black shorts,
Divided || Shorts || Shorts || Black || Solid,black shorts,
Divided || Shorts || Shorts || Blue || Denim,blue shorts,
Divided || Shorts || Shorts || Blue || Solid,blue shorts,
Divided || Shorts || Shorts || Grey || Denim,grey shorts,
Divided || Shorts || Shorts || Khaki green || Solid,khaki shorts,
Divided || Shorts || Shorts || Pink || Solid,pink shorts,
Divided || Shorts || Shorts || White || All over pattern,white shorts,
Divided || Shorts || Shorts || White || Solid,white shorts,
Divided || Shorts || Trousers Denim || Black || Denim,black shorts,
Divided || Shorts || Trousers Denim || Blue || Denim,blue shorts,
Divided || Shorts || Trousers || Black || All over pattern,black shorts,
Divided || Shorts || Trousers || Blue || Denim,blue shorts,
Divided || Shorts || Trousers || Blue || Solid,blue shorts,
Divided || Shorts || Trousers || Red || Solid,red shorts,
Divided || Shorts || Trousers || White || All over pattern,white shorts,
Divided || Shorts || Unknown || Black || Denim,black shorts,
Divided || Shorts || Unknown || Black || Solid,black shorts,
Divided || Shorts || Unknown || Blue || Denim,blue shorts,
Divided || Skirt || Jersey Basic || Black || Solid,black skirt,
Divided || Skirt || Skirts || Beige || All over pattern,beige skirt,
Divided || Skirt || Skirts || Beige || Check,beige skirt,
Divided || Skirt || Skirts || Beige || Solid,beige skirt,
Divided || Skirt || Skirts || Black || All over pattern,black skirt,
Divided || Skirt || Skirts || Black || Check,black skirt,
Divided || Skirt || Skirts || Black || Denim,black skirt,
Divided || Skirt || Skirts || Black || Dot,black skirt,
Divided || Skirt || Skirts || Black || Glittering/Metallic,black skirt,
Divided || Skirt || Skirts || Black || Other structure,black skirt,
Divided || Skirt || Skirts || Black || Sequin,black skirt,
Divided || Skirt || Skirts || Black || Solid,black skirt,
Divided || Skirt || Skirts || Blue || All over pattern,blue skirt,
Divided || Skirt || Skirts || Blue || Check,blue skirt,
Divided || Skirt || Skirts || Blue || Denim,blue skirt,
Divided || Skirt || Skirts || Blue || Solid,blue skirt,
Divided || Skirt || Skirts || Green || All over pattern,green skirt,
Divided || Skirt || Skirts || Green || Solid,green skirt,
Divided || Skirt || Skirts || Khaki green || All over pattern,khaki skirt,
Divided || Skirt || Skirts || Khaki green || Solid,khaki skirt,
Divided || Skirt || Skirts || Pink || All over pattern,pink skirt,
Divided || Skirt || Skirts || Pink || Solid,pink skirt,
Divided || Skirt || Skirts || Red || Check,red skirt,
Divided || Skirt || Skirts || Red || Solid,red skirt,
Divided || Skirt || Skirts || White || All over pattern,white skirt,
Divided || Skirt || Skirts || White || Solid,white skirt,
Divided || Skirt || Skirts || Yellow || All over pattern,yellow skirt,
Divided || Skirt || Trousers Denim || Black || Denim,black skirt,
Divided || Skirt || Trousers Denim || Blue || Denim,blue skirt,
Divided || Skirt || Trousers || Beige || Solid,beige skirt,
Divided || Skirt || Trousers || Black || All over pattern,black skirt,
Divided || Skirt || Trousers || Black || Solid,black skirt,
Divided || Skirt || Trousers || Blue || All over pattern,blue skirt,
Divided || Skirt || Trousers || Blue || Denim,blue skirt,
Divided || Skirt || Trousers || Blue || Solid,blue skirt,
Divided || Skirt || Trousers || Mole || Solid,,colour unmapped
Divided || Skirt || Trousers || Pink || All over pattern,pink skirt,
Divided || Skirt || Trousers || Pink || Solid,pink skirt,
Divided || Skirt || Trousers || Red || All over pattern,red skirt,
Divided || Skirt || Trousers || Red || Solid,red skirt,
Divided || Skirt || Trousers || Turquoise || Solid,turquoise skirt,
Divided || Skirt || Trousers || White || Solid,white skirt,
Divided || Skirt || Unknown || Black || Solid,black skirt,
Divided || Sneakers || Shoes || Black || Solid,black sneakers,
Divided || Sneakers || Shoes || Pink || Solid,pink sneakers,
Divided || Sneakers || Shoes || White || Solid,white sneakers,
"Divided || Socks || Under-, Nightwear || Black || Solid",black socks,
"Divided || Socks || Under-, Nightwear || Pink || All over pattern",pink socks,
Divided || Sunglasses || Accessories || Black || Solid,black sunglasses,
Divided || Sunglasses || Accessories || Brown || Solid,brown sunglasses,
Divided || Sunglasses || Accessories || Metal || Solid,,colour unmapped
Divided || Sunglasses || Accessories || Pink || Solid,pink sunglasses,
Divided || Sweater || Jersey Basic || Black || Solid,black sweater,
Divided || Sweater || Jersey Basic || Grey || Melange,grey sweater,
Divided || Sweater || Jersey Basic || Khaki green || Solid,khaki sweater,
Divided || Sweater || Jersey Basic || Mole || Solid,,colour unmapped
Divided || Sweater || Jersey Basic || Orange || Solid,orange sweater,
Divided || Sweater || Jersey Basic || Red || Solid,red sweater,
Divided || Sweater || Jersey Basic || White || Solid,white sweater,
Divided || Sweater || Jersey Basic || Yellow || Solid,yellow sweater,
Divided || Sweater || Jersey Fancy || Beige || Solid,beige sweater,
Divided || Sweater || Jersey Fancy || Black || All over pattern,black sweater,
Divided || Sweater || Jersey Fancy || Black || Embroidery,black sweater,
Divided || Sweater || Jersey Fancy || Black || Front print,black sweater,
Divided || Sweater || Jersey Fancy || Black || Glittering/Metallic,black sweater,
Divided || Sweater || Jersey Fancy || Black || Placement print,black sweater,
Divided || Sweater || Jersey Fancy || Black || Solid,black sweater,
Divided || Sweater || Jersey Fancy || Blue || Colour blocking,blue sweater,
Divided || Sweater || Jersey Fancy || Blue || Placement print,blue sweater,
Divided || Sweater || Jersey Fancy || Blue || Solid,blue sweater,
Divided || Sweater || Jersey Fancy || Green || Placement print,green sweater,
Divided || Sweater || Jersey Fancy || Green || Solid,green sweater,
Divided || Sweater || Jersey Fancy || Grey || All over pattern,grey sweater,
Divided || Sweater || Jersey Fancy || Grey || Embroidery,grey sweater,
Divided || Sweater || Jersey Fancy || Grey || Front print,grey sweater,
Divided || Sweater || Jersey Fancy || Grey || Melange,grey sweater,
Divided || Sweater || Jersey Fancy || Grey || Placement print,grey sweater,
Divided || Sweater || Jersey Fancy || Grey || Solid,grey sweater,
Divided || Sweater || Jersey Fancy || Khaki green || Solid,khaki sweater,
Divided || Sweater || Jersey Fancy || Mole || Solid,,colour unmapped
Divided || Sweater || Jersey Fancy || Orange || Placement print,orange sweater,
Divided || Sweater || Jersey Fancy || Pink || Colour blocking,pink sweater,
Divided || Sweater || Jersey Fancy || Pink || Embroidery,pink sweater,
Divided || Sweater || Jersey Fancy || Pink || Front print,pink sweater,
Divided || Sweater || Jersey Fancy || Pink || Placement print,pink sweater,
Divided || Sweater || Jersey Fancy || Pink || Solid,pink sweater,
Divided || Sweater || Jersey Fancy || Red || All over pattern,red sweater,
Divided || Sweater || Jersey Fancy || Red || Placement print,red sweater,
Divided || Sweater || Jersey Fancy || Red || Solid,red sweater,
Divided || Sweater || Jersey Fancy || Turquoise || Solid,turquoise sweater,
Divided || Sweater || Jersey Fancy || White || Embroidery,white sweater,
Divided || Sweater || Jersey Fancy || White || Front print,white sweater,
Divided || Sweater || Jersey Fancy || White || Placement print,white sweater,
Divided || Sweater || Jersey Fancy || White || Solid,white sweater,
Divided || Sweater || Jersey Fancy || Yellow || Colour blocking,yellow sweater,
Divided || Sweater || Jersey Fancy || Yellow || Placement print,yellow sweater,
Divided || Sweater || Jersey Fancy || Yellow || Solid,yellow sweater,
Divided || Sweater || Knitwear || Beige || Melange,beige sweater,
Divided || Sweater || Knitwear || Beige || Solid,beige sweater,
Divided || Sweater || Knitwear || Beige || Stripe,beige sweater,
Divided || Sweater || Knitwear || Black || Application/3D,black sweater,
Divided || Sweater || Knitwear || Black || Glittering/Metallic,black sweater,
Divided || Sweater || Knitwear || Black || Jacquard,black sweater,
Divided || Sweater || Knitwear || Black || Lace,black sweater,
Divided || Sweater || Knitwear || Black || Melange,black sweater,
Divided || Sweater || Knitwear || Black || Placement print,black sweater,
Divided || Sweater || Knitwear || Black || Solid,black sweater,
Divided || Sweater || Knitwear || Black || Stripe,black sweater,
Divided || Sweater || Knitwear || Blue || Colour blocking,blue sweater,
Divided || Sweater || Knitwear || Blue || Melange,blue sweater,
Divided || Sweater || Knitwear || Blue || Other structure,blue sweater,
Divided || Sweater || Knitwear || Blue || Solid,blue sweater,
Divided || Sweater || Knitwear || Blue || Stripe,blue sweater,
Divided || Sweater || Knitwear || Green || Solid,green sweater,
Divided || Sweater || Knitwear || Grey || Melange,grey sweater,
Divided || Sweater || Knitwear || Grey || Solid,grey sweater,
Divided || Sweater || Knitwear || Grey || Stripe,grey sweater,
Divided || Sweater || Knitwear || Khaki green || Solid,khaki sweater,
Divided || Sweater || Knitwear || Lilac Purple || Solid,lilac sweater,
Divided || Sweater || Knitwear || Mole || Solid,,colour unmapped
Divided || Sweater || Knitwear || Orange || Solid,orange sweater,
Divided || Sweater || Knitwear || Pink || Melange,pink sweater,
Divided || Sweater || Knitwear || Pink || Other structure,pink sweater,
Divided || Sweater || Knitwear || Pink || Solid,pink sweater,
Divided || Sweater || Knitwear || Red || Other structure,red sweater,
Divided || Sweater || Knitwear || Red || Solid,red sweater,
Divided || Sweater || Knitwear || Red || Stripe,red sweater,
Divided || Sweater || Knitwear || White || All over pattern,white sweater,
Divided || Sweater || Knitwear || White || Embroidery,white sweater,
Divided || Sweater || Knitwear || White || Melange,white sweater,
Divided || Sweater || Knitwear || White || Other structure,white sweater,
Divided || Sweater || Knitwear || White || Solid,white sweater,
Divided || Sweater || Knitwear || White || Stripe,white sweater,
Divided || Sweater || Knitwear || Yellow || Other structure,yellow sweater,
Divided || Sweater || Knitwear || Yellow || Solid,yellow sweater,
Divided || Sweater || Unknown || Black || Solid,black sweater,
Divided || Swimsuit || Swimwear || Black || Solid,black swimsuit,
Divided || T-shirt || Jersey Basic || Beige || Solid,beige t-shirt,
Divided || T-shirt || Jersey Basic || Black || Solid,black t-shirt,
Divided || T-shirt || Jersey Basic || Black || Stripe,black t-shirt,
Divided || T-shirt || Jersey Basic || Blue || Solid,blue t-shirt,
Divided || T-shirt || Jersey Basic || Grey || Melange,grey t-shirt,
Divided || T-shirt || Jersey Basic || Grey || Solid,grey t-shirt,
Divided || T-shirt || Jersey Basic || Khaki green || Melange,khaki t-shirt,
Divided || T-shirt || Jersey Basic || Khaki green || Solid,khaki t-shirt,
Divided || T-shirt || Jersey Basic || Lilac Purple || Solid,lilac t-shirt,
Divided || T-shirt || Jersey Basic || Mole || Solid,,colour unmapped
Divided || T-shirt || Jersey Basic || Orange || Solid,orange t-shirt,
Divided || T-shirt || Jersey Basic || Pink || Melange,pink t-shirt,
Divided || T-shirt || Jersey Basic || Pink || Solid,pink t-shirt,
Divided || T-shirt || Jersey Basic || Red || Solid,red t-shirt,
Divided || T-shirt || Jersey Basic || Red || Stripe,red t-shirt,
Divided || T-shirt || Jersey Basic || White || Solid,white t-shirt,
Divided || T-shirt || Jersey Basic || White || Stripe,white t-shirt,
Divided || T-shirt || Jersey Basic || Yellow || Solid,yellow t-shirt,
Divided || T-shirt || Jersey Basic || Yellow || Stripe,yellow t-shirt,
Divided || T-shirt || Jersey Fancy || Beige || All over pattern,beige t-shirt,
Divided || T-shirt || Jersey Fancy || Black || All over pattern,black t-shirt,
Divided || T-shirt || Jersey Fancy || Black || Application/3D,black t-shirt,
Divided || T-shirt || Jersey Fancy || Black || Embroidery,black t-shirt,
Divided || T-shirt || Jersey Fancy || Black || Front print,black t-shirt,
Divided || T-shirt || Jersey Fancy || Black || Placement print,black t-shirt,
Divided || T-shirt || Jersey Fancy || Black || Solid,black t-shirt,
Divided || T-shirt || Jersey Fancy || Black || Treatment,black t-shirt,
Divided || T-shirt || Jersey Fancy || Blue || Placement print,blue t-shirt,
Divided || T-shirt || Jersey Fancy || Blue || Solid,blue t-shirt,
Divided || T-shirt || Jersey Fancy || Green || Solid,green t-shirt,
Divided || T-shirt || Jersey Fancy || Grey || Embroidery,grey t-shirt,
Divided || T-shirt || Jersey Fancy || Grey || Melange,grey t-shirt,
Divided || T-shirt || Jersey Fancy || Grey || Placement print,grey t-shirt,
Divided || T-shirt || Jersey Fancy || Khaki green || Solid,khaki t-shirt,
Divided || T-shirt || Jersey Fancy || Lilac Purple || Solid,lilac t-shirt,
Divided || T-shirt || Jersey Fancy || Orange || Solid,orange t-shirt,
Divided || T-shirt || Jersey Fancy || Pink || Embroidery,pink t-shirt,
Divided || T-shirt || Jersey Fancy || Pink || Front print,pink t-shirt,
Divided || T-shirt || Jersey Fancy || Pink || Placement print,pink t-shirt,
Divided || T-shirt || Jersey Fancy || Pink || Solid,pink t-shirt,
Divided || T-shirt || Jersey Fancy || Red || All over pattern,red t-shirt,
Divided || T-shirt || Jersey Fancy || Red || Placement print,red t-shirt,
Divided || T-shirt || Jersey Fancy || Red || Solid,red t-shirt,
Divided || T-shirt || Jersey Fancy || Turquoise || Solid,turquoise t-shirt,
Divided || T-shirt || Jersey Fancy || White || All over pattern,white t-shirt,
Divided || T-shirt || Jersey Fancy || White || Embroidery,white t-shirt,
Divided || T-shirt || Jersey Fancy || White || Front print,white t-shirt,
Divided || T-shirt || Jersey Fancy || White || Placement print,white t-shirt,
Divided || T-shirt || Jersey Fancy || White || Solid,white t-shirt,
Divided || T-shirt || Jersey Fancy || White || Stripe,white t-shirt,
Divided || T-shirt || Jersey Fancy || Yellow || Placement print,yellow t-shirt,
Divided || T-shirt || Jersey Fancy || Yellow || Solid,yellow t-shirt,
Divided || T-shirt || Unknown || Black || Solid,black t-shirt,
Divided || T-shirt || Unknown || Pink || Solid,pink t-shirt,
Divided || Top || Blouses || Black || Solid,black top,
Divided || Top || Blouses || White || Solid,white top,
Divided || Top || Jersey Basic || Black || Solid,black top,
Divided || Top || Jersey Basic || Black || Stripe,black top,
Divided || Top || Jersey Basic || Khaki green || Solid,khaki top,
Divided || Top || Jersey Basic || Lilac Purple || Solid,lilac top,
Divided || Top || Jersey Basic || Pink || Solid,pink top,
Divided || Top || Jersey Basic || Red || Solid,red top,
Divided || Top || Jersey Basic || Red || Stripe,red top,
Divided || Top || Jersey Basic || White || Solid,white top,
Divided || Top || Jersey Basic || White || Stripe,white top,
Divided || Top || Jersey Basic || Yellow || Solid,yellow top,
Divided || Top || Jersey Basic || Yellow || Stripe,yellow top,
Divided || Top || Jersey Fancy || Black || All over pattern,black top,
Divided || Top || Jersey Fancy || Black || Glittering/Metallic,black top,
Divided || Top || Jersey Fancy || Black || Lace,black top,
Divided || Top || Jersey Fancy || Black || Solid,black top,
Divided || Top || Jersey Fancy || Green || Solid,green top,
Divided || Top || Jersey Fancy || Pink || Solid,pink top,
Divided || Top || Jersey Fancy || Red || Solid,red top,
Divided || Top || Jersey Fancy || White || Solid,white top,
Divided || Top || Knitwear || White || Solid,white top,
Divided || Top || Unknown || Black || All over pattern,black top,
Divided || Trousers || Dresses Ladies || Black || Treatment,black trousers,
Divided || Trousers || Jersey Basic || Black || Solid,black trousers,
Divided || Trousers || Jersey Basic || Grey || Melange,grey trousers,
Divided || Trousers || Trousers Denim || Black || Denim,black trousers,
Divided || Trousers || Trousers Denim || Black || Solid,black trousers,
Divided || Trousers || Trousers Denim || Blue || Denim,blue trousers,
Divided || Trousers || Trousers Denim || Green || Denim,green trousers,
Divided || Trousers || Trousers Denim || Grey || Denim,grey trousers,
Divided || Trousers || Trousers Denim || Red || Denim,red trousers,
Divided || Trousers || Trousers Denim || White || Denim,white trousers,
Divided || Trousers || Trousers || Beige || All over pattern,beige trousers,
Divided || Trousers || Trousers || Beige || Solid,beige trousers,
Divided || Trousers || Trousers || Black || All over pattern,black trousers,
Divided || Trousers || Trousers || Black || Application/3D,black trousers,
Divided || Trousers || Trousers || Black || Check,black trousers,
Divided || Trousers || Trousers || Black || Denim,black trousers,
Divided || Trousers || Trousers || Black || Solid,black trousers,
Divided || Trousers || Trousers || Black || Stripe,black trousers,
Divided || Trousers || Trousers || Blue || All over pattern,blue trousers,
Divided || Trousers || Trousers || Blue || Application/3D,blue trousers,
Divided || Trousers || Trousers || Blue || Denim,blue trousers,
